0,3343/19448,3343/9724,8231/19448,109589/175032,3343/4862
0,35817/202895,71634/202895,48623/115940,1514467/2434740,19986/28985
0,213/1330,213/665,1117/2660,4937/7980,439/665
0,1/6,1/3,5/12,61/96,2/3
0,149/850,149/425,701/1700,3197/5100,287/425
0,65869/392700,65869/196350,41417/98175,40927/65450,10612/14025
0,21987/121550,21987/60775,73291/182325,113284/182325,43974/60775
0,304751/1649340,304751/824670,330941/824670,509029/824670,33883/47124
0,104512/624393,209024/624393,1066537/2497572,390454/624393,3564109/4995144
0,787/4488,787/2244,226/561,2815/4488,787/1122
0,5087/28050,5087/14025,11269/28050,3167/5100,39319/56100
0,5147/31416,5147/15708,9153/20944,39181/62832,86381/125664
0,185435/1107414,185435/553707,942685/2214828,345733/553707,370870/553707
0,1718803/9738960,1718803/4869480,4075231/9738960,1504141/2434740,6470731/9738960
0,319/1890,319/945,1571/3780,4733/7560,1583/1890
0,59/350,59/175,291/700,2629/4200,118/175
0,3193/18270,3193/9135,15077/36540,5672/9135,6029/9135
0,689/4200,689/2100,3511/8400,5281/8400,129/175
0,331/1960,331/980,6677/17640,313/490,1738/2205
0,2183/12900,2183/6450,1673/4300,2039/3225,1673/2150
0,2011/12075,4022/12075,1703/4025,60173/96600,2641/3450
0,71/420,71/210,113/280,521/840,253/280
0,59/350,59/175,291/700,2629/4200,291/350
0,71/420,71/210,359/840,521/840,59/80
0,25867/155400,25867/77700,62873/155400,12104/19425,69947/77700
0,2071/12600,2071/6300,5387/12600,3911/6300,5387/6300
0,181/1120,181/560,1471/3360,347/560,283/336
0,2183/12900,2183/6450,1673/4300,2039/3225,2632/3225
0,1507/8880,1507/4440,3601/8880,1381/2220,3601/4440
0,7853/47880,7853/23940,20479/47880,2473/3990,6463/7980
0,18857/113400,18857/56700,47933/113400,17653/28350,41449/56700
0,751/4655,1502/4655,1727/4655,2703/4655,5799/9310
0,247/1575,494/1575,121/315,911/1575,101/150
0,107/665,214/665,493/1330,386/665,879/1330
0,1263/7840,1263/3920,5797/15680,9103/15680,2313/3136
0,351/2170,351/1085,797/2170,2521/4340,2967/4340
0,198/1225,396/1225,453/1225,1423/2450,111/175
0,751/4655,1502/4655,1727/4655,2703/4655,3679/4655
0,512/3185,1024/3185,4721/12740,3697/6370,11351/12740
0,184/1155,368/1155,569/1540,1339/2310,3649/4620
0,512/3185,1024/3185,4721/12740,3697/6370,8783/12740
0,244/1617,488/1617,783/2156,1861/3234,1016/1617
0,62/399,124/399,195/532,461/798,248/399
0,6616/38955,13232/38955,19601/51940,45571/77910,49169/77910
0,7436/47481,14872/47481,12147/31654,54917/94962,18257/27132
0,1423/8364,1423/4182,4327/11152,9787/16728,1423/2091
0,226/1275,452/1275,1993/5100,1501/2550,1747/2550
0,211/1365,422/1365,333/910,788/1365,1787/2730
0,1/6,1/3,3/8,7/12,2/3
0,181/1020,181/510,521/1360,1201/2040,691/1020
0,376667/2370480,376667/1185240,108713/296310,2747147/4740960,1725713/2370480
0,367/2040,367/1020,779/2040,2407/4080,367/510
0,5189/28050,5189/14025,21671/56100,33239/56100,8027/11220
0,14081/89250,14081/44625,16238/44625,103331/178500,60863/89250
0,1525/8874,1525/4437,1663/4437,10399/17748,3050/4437
0,1597/8840,1597/4420,5071/13260,10437/17680,18331/26520
0,12233/79968,12233/39984,57875/159936,92201/159936,7391/11424
0,4861/30702,4861/15351,5623/15351,35563/61404,9722/15351
0,124367/724710,124367/362355,136592/362355,849077/1449420,462839/724710
0,751/4655,1502/4655,1727/4655,2703/4655,7659/9310
0,107/665,214/665,493/1330,386/665,428/665
0,179/1050,179/525,529/1400,1229/2100,887/1400
0,757/4935,1514/4935,1201/3290,2846/4935,6971/9870
0,1903/12810,1903/6405,7879/25620,14713/25620,4052/6405
0,1187/7896,1187/3948,4973/15792,9083/15792,4973/7896
0,22567/139440,22567/69720,103153/278880,162007/278880,87739/139440
0,779/5250,779/2625,3347/10500,6029/10500,1718/2625
0,1537/10248,1537/5124,6743/20496,11785/20496,6743/10248
0,2633/16905,5266/16905,12577/33810,9769/16905,6481/9660
0,227/1512,227/756,949/3024,1739/3024,983/1512
0,193/1260,193/630,823/2520,1453/2520,823/1260
0,2717/16800,2717/8400,1769/4800,19517/33600,11117/16800
0,10729/69090,10729/34545,46811/138180,79819/138180,50051/69090
0,619/3850,619/1925,8423/23100,4469/7700,8423/11550
0,26333/162960,26333/81480,18031/46560,189293/325920,23837/32592
0,1187/7896,1187/3948,1255/3948,9083/15792,5203/7896
0,71/462,71/231,1/3,533/924,2/3
0,853/5250,853/2625,974/2625,6103/10500,3599/5250
0,281/1890,281/945,587/1890,2171/3780,604/945
0,253/1680,253/840,1073/3360,1933/3360,1073/1680
0,2089/12880,2089/6440,7177/19320,14969/25760,24839/38640
0,751/4655,1502/4655,1727/4655,2703/4655,8109/9310
0,107/665,214/665,493/1330,386/665,493/665
0,179/1085,358/1085,1264/3255,632/1085,316/465
0,404/2555,808/2555,30571/81760,2959/5110,4521/5110
0,89/560,89/280,227/560,649/1120,227/280
0,734/4725,1468/4725,1111/2700,5459/9450,7607/9450
0,261/1645,522/1645,9477/26320,953/1645,1299/1645
0,571/3465,1142/3465,5483/13860,2018/3465,5483/6930
0,261/1645,522/1645,10697/26320,953/1645,1299/1645
0,734/4725,1468/4725,6487/18900,5459/9450,6997/9450
