0,100122941/288604680,120627179/288604680,6635365/14430234,100122941/144302340,17560111/22200360,244425281/288604680
0,2623/7560,3163/7560,997/2160,2623/3780,1331/1680,2077/2160
0,8593/24640,481/1120,221/462,8593/12320,59777/73920,221/231
0,310519/887880,193793/443940,221/453,310519/443940,242199/295960,1592917/1775760
0,10297319/29752800,9227567/22314600,60620443/133887600,10297319/14876400,7501811/9563400,8985349/9563400
0,65398547/187867680,6671419/15655640,18985859/40257360,65398547/93933840,113141527/140900760,18985859/20128680
0,543204957/1555929760,505100711/1166947320,481338163/1000240560,543204957/777964880,710978789/875210490,6540151799/7001683920
0,13245877/38536960,11497771/28902720,74482853/173416320,13245877/19268480,4718039/6193440,10911479/12386880
0,33167977/96059040,9785717/24014760,63979331/144088560,33167977/48029520,27957191/36022140,63979331/72044280
0,12728101/36553440,16895601/39599560,48058513/101827440,12728101/18276720,57257713/71279208,128536921/142558416
0,22836949/66670560,2169443/5555880,41855887/100005840,22836949/33335280,18774697/25001460,42827407/50002920
0,3228327/9391360,2803381/7043520,18165443/42261120,3228327/4695680,1006471/1320660,18165443/21130560
0,432307807/1241116800,44247719/103426400,125996551/265953600,432307807/620558400,46832627/58177350,1615152041/1861675200
0,1429/4116,41/98,461/1029,1429/2058,745/1029,6473/8232
0,343/1000,313/750,347/750,343/500,1097/1500,1283/1500
0,433/1248,87/208,35/78,433/624,113/156,1057/1248
0,671/1932,135/322,31/69,671/966,50/69,119/138
0,1777/5124,51/122,575/1281,1777/2562,928/1281,4759/5124
0,631/1824,127/304,103/228,631/912,331/456,787/912
0,1777/5124,51/122,575/1281,1777/2562,928/1281,1359/1708
0,17/50,803/2100,17/42,17/25,59/84,422/525
0,1667/4872,1293/3248,2083/4872,1667/2436,6955/9744,1293/1624
0,3923/11172,807/1862,1291/2793,3923/5586,2042/2793,17681/22344
0,1677/4928,9067/22176,2531/5544,1677/2464,8075/11088,4747/5544
0,26875/77952,16699/38976,97/203,26875/38976,150/203,16699/19488
0,4331/12320,8213/18480,223/462,4331/6160,685/924,3977/4620
0,919/2688,355/896,571/1344,919/1344,1915/2688,2263/2688
0,283/819,1385/3276,253/546,566/819,799/1092,1385/1638
0,4051/11424,2551/5712,113/238,4051/5712,351/476,9763/11424
0,935/2736,23/57,301/684,935/1368,985/1368,103/114
0,767/2208,155/368,125/276,767/1104,401/552,155/184
0,361/1032,673/1548,182/387,361/516,569/774,69/86
0,61043/177408,12161/29568,1237/2772,61043/88704,4009/5544,20345/22176
0,8635/24192,1825/4032,361/756,8635/12096,1117/1512,1825/2016
0,12539/34720,8047/17360,1047/2170,12539/17360,3217/4340,3901/4340
0,21829/63840,867/2128,892/1995,21829/31920,2887/3990,6877/7980
0,1801/5152,1117/2576,151/322,1801/2576,473/644,1117/1288
0,8635/24192,1825/4032,361/756,8635/12096,1117/1512,2629/3024
0,20747/61152,579/1456,1675/3822,20747/30576,5497/7644,487/588
0,70171/204960,13953/34160,2866/6405,70171/102480,9271/12810,13953/17080
0,55805/159488,103795/239232,13999/29904,55805/79744,43903/59808,16045/19936
0,1117/3290,14633/39480,1513/3948,1117/1645,5461/7896,3968/4935
0,2351/6888,10519/27552,1829/4592,2351/3444,6421/9184,1829/2296
0,6319/18144,15377/36288,8245/18144,6319/9072,26389/36288,9647/12096
0,1543/4550,277/728,3681/9100,1543/2275,12781/18200,1154/1365
0,3377/9912,15605/39648,8413/19824,3377/4956,28237/39648,8413/9912
0,41621/121128,16875/40376,27947/60564,41621/60564,88511/121128,51785/60564
0,1261/3696,2815/7392,489/1232,1261/1848,1721/2464,3109/3696
0,412/1197,425/1064,2021/4788,824/1197,6809/9576,2021/2394
0,1699/4872,10397/24360,5587/12180,1699/2436,17767/24360,4135/4872
0,179/520,313/780,83/195,179/260,139/195,361/390
0,767/2208,155/368,125/276,767/1104,401/552,125/138
0,361/1032,673/1548,182/387,361/516,569/774,1297/1548
0,1619/4704,627/1568,995/2352,1619/2352,3347/4704,4337/4704
0,16117/46200,9907/23100,178/385,16117/23100,563/770,356/385
0,1991/5684,3737/8526,2027/4263,1991/2842,3145/4263,5165/5684
0,2351/6888,110/287,691/1722,2351/3444,2413/3444,5857/6888
0,31/90,127/315,3/7,31/45,5/7,6/7
0,19609/56280,12067/28140,1088/2345,19609/28140,3433/4690,8123/9380
0,523/1540,1721/4620,893/2310,523/770,3203/4620,1249/1540
0,545/1596,409/1064,643/1596,545/798,2239/3192,643/798
0,3509/10080,2141/5040,16/35,3509/5040,51/70,181/224
0,3029/8904,1801/4452,151/318,3029/4452,1053/1484,806/1113
0,373/1092,193/462,1406/3003,373/546,4309/6006,6309/8008
0,2311/6768,1415/3384,199/423,2311/3384,2429/3384,311/423
0,499/1472,317/736,1055/2208,499/736,1607/2208,3763/4416
0,541/1584,83/198,371/792,541/792,569/792,1333/1584
0,3833/11220,2347/5610,1313/2805,3833/5610,4027/5610,17503/22440
0,1849/5412,103/246,634/1353,1849/2706,1943/2706,4649/5412
0,4913/14388,3013/7194,1685/3597,4913/7194,5167/7194,26707/28776
0,835/2448,515/1224,575/1224,835/1224,881/1224,2105/2448
0,4913/14388,3013/7194,1685/3597,4913/7194,5167/7194,689/872
0,28157/84000,2493/7000,2497/5250,28157/42000,7157/10500,272/375
0,21841/65088,5867/16272,959/2034,21841/32544,5569/8136,5867/8136
0,14183/41760,12533/31320,3767/7830,14183/20880,2771/3915,5723/7830
0,215647/637728,60751/159432,36739/79716,215647/318864,55457/79716,10565/13286
0,49453/145600,43247/109200,25447/54600,49453/72800,12827/18200,43247/54600
0,18989/55328,88457/207480,49549/103740,18989/27664,11212/15561,4213/5320
0,22999/68544,6173/17136,505/1071,22999/34272,5863/8568,788/1071
0,5753/17120,941/2568,299/642,5753/8560,1473/2140,941/1284
0,36343/106752,3637/8896,1597/3336,36343/53376,793/1112,4933/6672
0,87621/259168,79931/194376,45503/97188,87621/129584,69779/97188,165637/194376
0,8367/24640,239/560,4393/9240,8367/12320,335/462,239/280
0,820121/2402400,8091/18200,11119/23100,820121/1201200,219559/300300,128437/150150
0,2857/8400,3343/8400,2547/5600,2857/4200,3947/5600,7057/8400
0,211/616,519/1232,5195/11088,211/308,7967/11088,519/616
0,4181/12096,1339/3024,481/1008,4181/6048,733/1008,10229/12096
0,7753/22890,35197/91560,40933/91560,7753/11445,31901/45780,12269/15260
0,5543/16296,25961/65184,9893/21728,5543/8148,7659/10864,25961/32592
0,55987/162708,17606/40677,25679/54236,55987/81354,39231/54236,258281/325416
0,2267/6696,667/1674,386/837,2267/3348,1189/1674,752/837
0,2017/5904,1241/2952,347/738,2017/2952,2123/2952,1241/1476
0,301/876,577/1314,1895/3942,301/438,2879/3942,6341/7884
0,106349/312480,32203/78120,4562/9765,106349/156240,11201/15624,70867/78120
0,398749/1155168,14365/32088,1936/4011,398749/577584,979/1337,14365/16044
0,571777/1648416,62911/137368,8345/17171,571777/824208,25265/34342,30619/34342
0,31495/92736,47501/115920,3386/7245,31495/46368,41557/57960,99517/115920
0,91823/268128,28939/67032,4001/8379,91823/134064,12181/16758,28939/33516
0,60535/175392,2183/4872,14/29,60535/87696,446/609,1055/1218
0,56125/165984,16525/41496,4793/10374,56125/82992,2461/3458,34289/41496
0,913/2688,551/1344,6283/13440,913/1344,803/1120,551/672
0,615/1792,3901/8960,38593/80640,615/896,14683/20160,8191/10080
0,8231/24402,36335/97608,19207/48804,8231/12201,33673/48804,3305/4067
0,937/2772,601/1584,2243/5544,937/1386,1283/1848,2243/2772
0,21281/62328,51661/124656,9603/20776,21281/31164,44585/62328,99815/124656
0,575/1708,10555/27328,16843/40992,575/854,9561/13664,17291/20496
0,5749/17052,13445/34104,1201/2842,5749/8526,12017/17052,1201/1421
0,74695/220584,92485/220584,16943/36764,74695/110292,13243/18382,62487/73528
0,3407/10080,3821/10080,4073/10080,3407/5040,583/840,8447/10080
0,439/1295,4031/10360,2173/5180,878/1295,10879/15540,2173/2590
0,43/126,26/63,11/24,43/63,5/7,53/63
0,20479/59976,49739/119952,27715/59976,20479/29988,42911/59976,95327/119952
0,629/1848,94/231,415/924,629/924,219/308,877/924
0,2017/5904,1241/2952,347/738,2017/2952,2123/2952,347/369
0,3247/9480,2027/4740,572/1185,3247/4740,1143/1580,1601/1896
0,72217/212520,42473/106260,46489/106260,72217/106260,75083/106260,24494/26565
0,1013/2968,5545/13356,18499/40068,1013/1484,28685/40068,18499/20034
0,249/728,11/26,1037/2184,249/364,787/1092,1975/2184
0,788/2331,3569/9324,2543/6216,1576/2331,3247/4662,7909/9324
0,807/2380,937/2380,152/357,807/1190,251/357,304/357
0,11177/32760,1363/3276,4547/9828,11177/16380,35213/49140,84353/98280
0,1091/3234,607/1617,2573/6468,1091/1617,373/539,1328/1617
0,6049/17892,1714/4473,1629/3976,6049/8946,6233/8946,1629/1988
0,22885/67032,13961/33516,31139/67032,22885/33516,24023/33516,107987/134064
0,1611/4697,5710/14091,6607/14091,3222/4697,7919/9394,16579/18788
0,766/2233,247/609,3140/6699,1532/2233,3765/4466,8231/8932
0,1611/4697,5710/14091,6607/14091,3222/4697,7919/9394,18047/18788
