0,73/756,73/378,1/3,2/3
0,359/2952,359/1476,256/615,871/1230
0,1/18,1/9,23/120,59/120
0,113/1584,113/792,65/264,65/132
0,65/576,65/288,65/168,47/84
0,107/630,107/315,757/1260,803/1260
0,1366/8085,2732/8085,449/735,397/539
0,71/420,71/210,64/105,281/420
0,83/490,83/245,2701/4410,7111/8820
0,5336/31605,10672/31605,19328/31605,28457/31605
0,703/4200,703/2100,64/105,169/210
0,5336/31605,10672/31605,19328/31605,7492/10535
0,211/1365,422/1365,3257/5460,1741/2730
0,167/1050,167/525,339/560,334/525
0,883/5040,883/2520,169/280,1619/2520
0,1521/9310,1521/4655,11321/18620,20407/27930
0,61/345,122/345,1131/1840,244/345
0,151/825,302/825,2017/3300,233/330
0,425/2688,425/1344,541/896,1769/2688
0,1/6,1/3,67/108,2/3
0,299/1680,299/840,43/70,1139/1680
0,83/490,83/245,2701/4410,411/490
0,71/420,71/210,1543/2520,71/105
0,4267/24150,4267/12075,7358/12075,7946/12075
0,1949/11970,1949/5985,14689/23940,487/665
0,179/1050,179/525,1229/2100,3973/6300
0,1277/7525,2554/7525,4401/7525,2197/3010
0,107/630,107/315,737/1260,211/315
0,179/1050,179/525,1229/2100,3329/4200
0,919/5425,1838/5425,3172/5425,9671/10850
0,111/665,222/665,388/665,1053/1330
0,919/5425,1838/5425,3172/5425,7523/10850
0,93/616,93/308,709/1232,1163/1848
0,373/2394,373/1197,2767/4788,746/1197
0,3163/17850,3163/8925,21013/35700,11371/17850
0,509/3150,509/1575,3659/6300,1136/1575
0,277/1530,277/765,1807/3060,554/765
0,203/1080,203/540,1283/2160,155/216
0,253/1638,253/819,1891/3276,536/819
0,1/6,1/3,7/12,2/3
0,181/990,181/495,1171/1980,338/495
0,179/1050,179/525,1229/2100,883/1050
0,107/630,107/315,737/1260,214/315
0,107/595,214/595,351/595,779/1190
0,291/1820,291/910,2111/3640,657/910
0,4/45,8/45,53/90,25/36
0,11/120,11/60,71/120,191/240
0,4/45,8/45,53/90,161/180
0,4/45,8/45,53/90,143/180
0,383/2520,383/1260,281/360,703/840
0,313/2070,313/1035,806/1035,1841/2070
0,383/2520,383/1260,281/360,1189/1260
0,277/2040,277/1020,206/255,461/510
0,95/924,95/462,239/462,3301/6160
0,291/2632,291/1316,2089/3948,6137/10528
0,543/5600,543/2800,183/350,6143/11200
0,459/4900,459/2450,1289/2450,1331/1960
0,11/112,11/56,355/672,67/112
0,725/6552,725/3276,193/364,7489/13104
0,311/3332,311/1666,437/833,635/833
0,785/8428,785/4214,1107/2107,1850/2107
0,279/2912,279/1456,48/91,139/182
0,785/8428,785/4214,1107/2107,1364/2107
0,453/3472,453/1736,453/868,7577/13888
0,281/2100,281/1050,281/525,1681/2800
0,171/1288,171/644,171/322,1459/2576
0,207/1540,207/770,207/385,2161/3080
0,83/616,83/308,83/154,391/616
0,139/1036,139/518,139/259,6079/10360
0,281/2100,281/1050,281/525,403/525
0,139/1036,139/518,139/259,4559/5180
0,83/616,83/308,83/154,237/308
0,139/1036,139/518,139/259,3401/5180
0,37/180,37/90,109/210,2839/5040
0,43/210,43/105,8/15,47/72
0,49/240,49/120,53/100,289/480
0,2603/13320,2603/6660,1199/2220,244/333
0,49/240,49/120,43/80,169/240
0,43/210,43/105,131/245,365/588
0,43/210,43/105,8/15,23/30
0,257/1260,257/630,671/1260,1109/1260
0,113/560,113/280,223/420,643/840
0,257/1260,257/630,671/1260,137/210
0,2809/15600,2809/7800,1019/1950,1447/1950
0,1597/8640,1597/4320,143/270,1597/2160
0,11801/59040,11801/29520,1327/2460,541/738
0,917/4680,917/2340,421/780,2087/2340
0,49/240,49/120,8/15,49/60
0,43/210,43/105,8/15,71/105
0,163/840,163/420,893/1680,92/105
0,67/320,67/160,53/100,67/80
0,2539/11600,2539/5800,759/1450,1187/1450
0,1943/10560,1943/5280,349/660,1009/1320
0,971/5040,971/2520,341/630,971/1260
0,67/320,67/160,53/100,153/200
0,8923/44160,8923/22080,971/1840,226/345
0,19/208,19/104,1/2,437/832
0,19/208,19/104,1/2,471/832
0,17/216,17/108,1/2,233/432
0,3/44,3/22,1/2,291/440
0,3/40,3/20,1/2,23/40
0,13/144,13/72,1/2,157/288
0,7/100,7/50,1/2,3/4
0,3/44,3/22,1/2,48/55
0,5/72,5/36,1/2,3/4
0,3/44,3/22,1/2,69/110
0,1/8,1/4,1/2,77/144
0,1/8,1/4,1/2,85/144
0,1/8,1/4,1/2,9/16
0,1/8,1/4,1/2,11/16
0,1/8,1/4,1/2,5/8
0,1/8,1/4,1/2,3/4
0,1/8,1/4,1/2,7/8
0,31/150,31/75,1/2,111/200
0,31/150,31/75,1/2,391/600
0,37/180,37/90,1/2,217/360
0,101/528,101/264,1/2,191/264
0,37/180,37/90,1/2,127/180
0,31/150,31/75,1/2,181/300
0,31/150,31/75,1/2,3/4
0,8/39,16/39,1/2,113/130
0,29/144,29/72,1/2,3/4
0,8/39,16/39,1/2,41/65
0,569/3264,569/1632,1/2,37/51
0,283/1584,283/792,1/2,283/396
0,497/2496,497/1248,1/2,113/156
0,37/192,37/96,1/2,85/96
0,37/180,37/90,1/2,37/45
0,31/150,31/75,1/2,199/300
0,871/4560,871/2280,1/2,82/95
0,17/80,17/40,1/2,17/20
0,43/192,43/96,1/2,79/96
0,179/1008,179/504,1/2,3/4
0,3/16,3/8,1/2,3/4
0,17/80,17/40,1/2,3/4
0,175/864,175/432,1/2,23/36
0,1/14,1/7,11/28,291/560
0,5/96,5/48,17/48,1/2
0,21/520,21/260,18/65,51/130
0,1/14,1/7,11/28,309/560
0,9/160,9/80,29/80,169/320
0,41/696,41/348,113/348,399/928
0,1/18,1/9,59/144,91/144
0,5/96,5/48,17/48,53/96
